3.0,42.0,12335.0
1.0,34.5,18196.0
3.0,42.0,15231.3333333
1.0,42.0,16622.0
2.0,42.0,15464.5
1.0,42.0,16337.0
1.0,52.0,15215.0
2.0,42.0,19661.0
1.0,52.0,13623.0
1.0,52.0,20933.0
1.0,37.0,15458.0
2.0,42.0,12323.0
1.0,42.0,12270.0
1.0,21.0,25523.0
3.0,57.0,17331.0
1.0,47.0,15984.0
1.0,21.0,13258.0
1.0,37.0,18267.0
2.0,47.0,17660.0
1.0,37.0,16401.0
5.0,52.0,14884.5
2.0,52.0,18419.5
2.0,47.0,14823.5
2.0,47.0,13220.0
2.0,42.0,13767.5
1.0,24.5,13708.0
1.0,47.0,18316.0
1.0,37.0,14375.0
1.0,37.0,13894.0
1.0,27.0,16193.0
1.0,52.0,16067.0
2.0,42.0,11788.0
2.0,37.0,21479.5
3.0,52.0,15908.3333333
2.0,54.5,12805.5
2.0,52.0,16260.5
1.0,44.5,15328.0
2.0,37.0,12674.0
2.0,54.5,13370.5
1.0,47.0,17322.0
1.0,27.0,17945.0
1.0,21.0,14193.0
8.0,47.0,15186.875
1.0,24.5,11676.0
1.0,24.5,14568.0
1.0,34.5,11514.0
2.0,52.0,12790.5
5.0,57.0,13086.6666667
1.0,42.0,12942.0
1.0,34.5,20640.0
1.0,42.0,14161.0
2.0,67.0,13562.5
3.0,30.0,14843.3333333
1.0,34.5,15820.0
1.0,52.0,13689.0
1.0,54.5,16879.0
1.0,27.0,18538.0
1.0,57.0,14533.0
1.0,37.0,15968.0
3.0,42.0,16657.3333333
1.0,32.0,17141.0
4.0,47.0,13244.0
3.0,44.5,15256.0
2.0,47.0,14809.0
1.0,34.5,19422.0
1.0,44.5,15174.0
1.0,44.5,13716.0
1.0,42.0,15905.0
1.0,27.0,15492.0
3.0,52.0,14718.0
1.0,47.0,20804.0
1.0,47.0,13219.0
1.0,52.0,11680.0
1.0,37.0,12730.0
1.0,42.0,17094.0
2.0,57.0,15846.5
1.0,52.0,16413.0
1.0,47.0,15931.0
1.0,44.5,13916.0
2.0,34.5,15153.0
4.0,52.0,13148.0
4.0,57.0,15336.0
3.0,42.0,13567.3333333
5.0,42.0,13147.0
1.0,37.0,20492.0
1.0,57.0,18404.0
1.0,21.0,17329.0
1.0,52.0,21463.0
1.0,37.0,13511.0
4.0,64.5,18587.5
1.0,37.0,22521.0
2.0,37.0,14689.0
1.0,21.0,16168.0
3.0,47.0,12317.0
1.0,37.0,11852.0
1.0,52.0,17251.0
